ASK
time (\mus),Amplitude
20.699999,-103.53878
20.710001,-91.217255
20.72,-102.19439
20.73,-93.18127
20.740002,-94.91836
20.75,-97.16855
20.76,-101.882065
20.77,-103.56976
20.78,-90.457565
20.789999,-95.79501
20.8,-93.26317
20.81,-92.3338
20.82,-92.5613
20.83,-87.805824
20.84,-87.78061
20.85,-87.06092
20.859999,-81.0033
20.87,-74.61609
20.88,-65.673096
20.89,-62.372654
20.9,-61.129856
20.91,-60.989826
20.92,-46.892326
20.93,-49.899437
20.94,-40.382465
20.949999,-22.82751
20.960001,-24.32407
20.97,-21.467142
20.98,-14.92243
20.99,-1.5398343
21.0,-6.8596377
21.01,8.470778
21.02,12.965162
21.03,30.135567
21.039999,26.236197
21.050001,25.393553
21.06,38.028
21.07,38.784916
21.08,47.58831
21.09,54.15267
21.1,58.603592
21.109999,61.34966
21.12,70.86408
21.13,66.62211
21.14,71.040245
21.15,79.10076
21.16,80.02969
21.17,93.52381
21.18,89.59818
21.19,90.49698
21.199999,91.23378
21.210001,98.26035
21.22,100.68143
21.23,97.223274
21.24,98.39002
21.25,99.578575
21.26,107.76218
21.27,109.076775
21.28,100.725174
21.289999,93.567894
21.300001,95.033485
21.31,95.70924
21.32,89.76436
21.33,97.61436
21.34,92.73173
21.35,87.5345
21.36,73.49018
21.37,72.579865
21.38,66.279465
21.39,56.184242
21.4,52.930405
21.41,51.13711
21.419998,47.949844
21.43,38.97428
21.44,37.752598
21.449999,36.92344
21.460001,19.704079
21.47,18.210972
21.48,7.475272
21.49,7.6708736
21.5,8.957854
21.509998,-13.728359
21.52,-7.5238943
21.53,-21.28819
21.539999,-25.641174
21.550001,-28.778929
21.56,-35.33696
21.57,-41.990505
21.58,-45.625618
21.59,-52.295822
21.6,-58.52725
21.61,-60.20293
21.62,-63.348595
21.63,-77.9657
21.64,-73.03413
21.65,-81.02113
21.66,-82.15556
21.669998,-83.09005
21.68,-97.16319
21.69,-92.762535
21.699999,-91.684166
21.710001,-103.14423
21.72,-99.48354
21.73,-98.97307
21.74,-106.390724
21.75,-92.54793
21.759998,-96.7064
21.77,-92.21812
21.78,-95.30561
21.789999,-88.46213
21.800001,-97.49789
21.81,-95.126915
21.82,-84.658104
21.83,-89.012505
21.84,-88.98407
21.849998,-80.85149
21.86,-76.44879
21.87,-66.905
21.88,-59.772846
21.890001,-54.109497
21.9,-62.434093
21.91,-55.302044
21.92,-53.757393
21.93,-40.44029
21.939999,-38.134308
21.949999,-31.93966
21.960001,-24.9451
21.97,-17.409838
21.98,-15.247861
21.99,-12.75504
22.0,-2.2101142
22.009998,14.852092
22.02,12.931246
22.03,15.9822445
22.039999,17.660389
22.050001,26.969503
22.06,37.90701
22.07,47.355698
22.08,48.912174
22.09,50.63834
22.099998,62.149155
22.11,65.480804
22.12,74.645836
22.13,67.82614
22.140001,85.67485
22.15,74.8343
22.16,82.883835
22.17,91.273766
22.18,87.12145
22.189999,98.5951
22.2,94.873764
22.210001,102.28765
22.22,99.24867
22.23,96.60494
22.24,89.07261
22.25,97.38479
22.259998,106.47469
22.27,94.68153
22.279999,100.63744
22.289999,91.44777
22.300001,101.65986
22.31,95.837036
22.32,90.80499
22.33,88.85793
22.34,77.17801
22.349998,83.021095
22.36,76.94155
22.369999,76.473564
22.38,69.819305
22.390001,68.25221
22.4,59.582787
22.41,51.10581
22.42,47.622772
22.43,39.29759
22.439999,39.001476
22.45,28.115084
22.460001,30.598299
22.47,13.689223
22.480001,16.858809
22.49,3.702756
22.5,3.4462452
22.51,-11.27818
22.52,-10.344364
22.529999,-22.610327
22.539999,-19.985703
22.550001,-30.739182
22.56,-39.751724
22.57,-40.754074
22.58,-37.124596
22.59,-57.018387
22.599998,-52.716217
22.61,-63.420685
22.619999,-66.13912
22.63,-70.31222
22.640001,-69.822914
22.65,-85.905014
22.66,-85.573746
22.67,-78.242256
22.68,-97.5472
22.689999,-86.976776
22.7,-88.551254
22.71,-92.518875
22.72,-95.812256
22.730001,-103.17774
22.74,-97.79304
22.75,-105.96125
22.76,-97.311516
22.77,-108.42997
22.779999,-96.695656
22.79,-98.80419
22.8,-97.66487
22.81,-97.51037
22.82,-83.305374
22.83,-95.91869
22.84,-90.385635
22.849998,-81.42289
22.86,-74.61121
22.869999,-70.55995
22.88,-68.11103
22.890001,-60.29019
22.9,-57.4115
22.91,-47.82755
22.92,-48.05359
22.93,-37.991066
22.939999,-33.613213
22.95,-34.574345
22.96,-30.092583
22.97,-14.489147
22.980001,-14.874566
22.99,-3.0280273
23.0,-3.9253418
23.01,11.207351
23.02,7.4171863
23.029999,17.933506
23.04,26.836342
23.05,27.509514
23.06,31.805761
23.070002,41.911575
23.08,49.978016
23.09,56.342693
23.1,54.582012
23.11,58.256256
23.119999,67.630974
23.13,67.78112
23.14,69.85037
23.15,84.759186
23.16,85.70569
23.17,80.87478
23.18,93.65454
23.189999,85.82937
23.2,93.62881
23.21,104.045586
23.22,97.82081
23.23,92.43303
23.24,93.44319
23.25,101.72722
23.26,97.64395
23.27,99.244026
23.279999,94.052734
23.29,100.86617
23.3,97.36122
23.31,97.14063
23.320002,87.721245
23.33,89.7958
23.34,88.2599
23.35,78.68271
23.36,77.152084
23.369999,72.17854
23.380001,67.838844
23.39,66.30983
23.4,57.199116
23.41,57.622078
23.42,51.86746
23.43,41.43517
23.439999,44.51779
23.45,18.696774
23.46,27.35949
23.47,15.760655
23.48,16.820948
23.49,12.409484
23.5,-4.759521
23.51,-5.4498444
23.52,-13.521925
23.529999,-20.331848
23.54,-24.60052
23.55,-36.693863
23.56,-38.418148
23.57,-47.30025
23.58,-39.778732
23.59,-47.043976
23.6,-59.255737
23.61,-61.693027
23.619999,-69.14973
23.630001,-70.25313
23.64,-74.72079
23.65,-77.6907
23.66,-80.75723
23.67,-83.29351
23.68,-89.72956
23.689999,-95.52965
23.7,-98.82079
23.71,-99.67008
23.72,-101.924614
23.73,-107.45726
23.74,-99.50335
23.75,-101.765495
23.76,-101.99469
23.77,-94.89061
23.779999,-94.408516
23.79,-98.44734
23.8,-99.742256
23.81,-93.578705
23.82,-90.252594
23.83,-82.82227
23.84,-80.79512
23.85,-85.05086
23.86,-85.72898
23.869999,-74.77381
23.880001,-68.16277
23.89,-58.845367
23.9,-57.000458
23.91,-53.65146
23.92,-47.47495
23.93,-44.47784
23.94,-39.29434
23.95,-35.921864
23.96,-24.00328
23.97,-19.655378
23.98,-4.9263263
23.99,4.112417
23.999998,3.5107572
24.01,-0.1274027
24.02,12.136401
24.029999,19.351488
24.04,18.957487
24.05,28.355568
24.06,34.286995
24.07,50.51943
24.08,50.373077
24.089998,50.63457
24.1,65.35874
24.11,58.181667
24.119999,56.46657
24.130001,70.69343
24.14,71.572464
24.15,77.00464
24.16,81.33147
24.17,91.22651
24.179998,83.20968
24.19,91.69043
24.2,96.81521
24.21,96.80654
24.220001,102.0766
24.23,99.75686
24.24,97.83842
24.25,97.582634
24.26,98.96775
24.27,102.66208
24.279999,97.518295
24.29,96.49377
24.3,92.63422
24.31,89.498924
24.32,88.42145
24.33,80.02193
24.339998,83.73484
24.35,82.526924
24.36,77.28652
24.369999,68.469444
24.380001,62.803997
24.39,68.97718
24.4,54.999626
24.41,50.84948
24.42,53.10816
24.429998,40.81152
24.44,39.870106
24.45,33.138985
24.46,27.181562
24.470001,17.145914
24.48,3.9027162
24.49,3.6664855
24.5,2.8093743
24.51,-3.4019012
24.519999,-10.008901
24.53,-26.064642
24.54,-26.836365
24.55,-29.7312
24.56,-32.581104
24.57,-48.2192
24.58,-48.561817
24.589998,-51.0203
24.6,-61.68924
24.609999,-61.518326
24.619999,-69.635735
24.630001,-70.435356
24.64,-82.27245
24.65,-80.076515
24.66,-88.84773
24.67,-91.28935
24.679998,-87.55072
24.69,-100.96566
24.7,-93.49075
24.71,-98.071014
24.720001,-100.00234
24.73,-103.282936
24.74,-90.233055
24.75,-97.62325
24.76,-94.5041
24.769999,-91.41785
24.78,-95.07211
24.79,-96.90075
24.8,-100.944176
24.810001,-94.39775
24.82,-90.40658
24.83,-88.76308
24.84,-75.95048
24.85,-81.97864
24.859999,-78.79946
24.869999,-70.532616
24.880001,-70.452446
24.89,-63.90319
24.9,-60.343132
24.91,-49.41146
24.92,-47.595093
24.929998,-44.45731
24.94,-36.20211
24.949999,-30.097628
24.96,-26.818213
24.970001,-18.089256
24.98,-18.981913
24.99,-0.5562706
25.0,4.1263576
25.01,1.8724238
25.019999,11.188912
25.03,18.120815
25.039999,26.63543
25.05,35.125984
25.060001,40.433422
25.07,45.3785
25.08,46.985474
25.09,56.06096
25.1,56.891518
25.109999,63.370815
25.12,69.89073
25.130001,68.702065
25.14,78.87791
25.15,83.212074
25.16,88.447845
25.17,77.463425
25.179998,90.79322
25.19,97.60031
25.199999,108.493256
25.21,96.769936
25.220001,100.89671
25.23,91.07225
25.24,88.51994
25.25,103.79064
25.26,101.49956
25.269999,98.95026
25.28,90.49406
25.289999,93.33047
25.3,89.42813
25.310001,94.406456
25.32,86.987144
25.33,84.16475
25.34,85.937874
25.35,79.9487
25.359999,72.33294
25.37,74.2682
25.38,69.25537
25.39,54.912468
25.400002,57.1108
25.41,57.94454
25.42,50.24668
25.43,44.53783
25.44,31.179424
25.449999,28.434298
25.46,25.622805
25.47,20.791622
25.48,10.097778
25.49,8.895124
25.5,-3.271545
25.51,-4.7717705
25.519999,-10.154078
25.53,-20.551056
25.539999,-20.77987
25.55,-35.225872
25.560001,-42.376427
25.57,-43.4553
25.58,-48.52648
25.59,-53.6092
25.6,-64.63011
25.609999,-69.0119
25.62,-74.23698
25.63,-74.65353
25.64,-77.15769
25.650002,-78.25273
25.66,-73.57989
25.67,-94.42616
25.68,-84.14316
25.69,-88.51905
25.699999,-100.31879
25.710001,-101.555725
25.72,-96.91031
25.73,-103.64002
25.74,-98.15908
25.75,-95.29514
25.76,-98.770386
25.769999,-100.74895
25.78,-103.56541
25.789999,-98.168205
25.8,-94.11178
25.81,-83.9094
25.82,-89.6733
25.83,-86.82412
25.84,-78.61247
25.85,-73.41409
25.859999,-70.62386
25.87,-73.238144
25.88,-64.80341
25.89,-64.919044
25.9,-59.10357
25.91,-52.727306
25.92,-47.584465
25.93,-35.156136
25.94,-33.46094
25.949999,-34.7401
25.960001,-24.002466
25.97,-13.721357
25.98,-16.782738
25.99,-12.916723
26.0,-4.1685534
26.01,10.402387
26.019999,8.967801
26.03,10.383771
26.039999,28.086746
26.05,35.09814
26.06,35.535625
26.07,39.176895
26.08,50.441597
26.09,50.162094
26.1,51.20668
26.109999,58.166725
26.12,70.28798
26.13,65.82888
26.14,78.69713
26.15,82.58303
26.16,80.2933
26.17,86.27907
26.18,88.47562
26.19,96.159386
26.199999,94.49495
26.210001,95.96612
26.22,93.49419
26.23,106.09983
26.24,105.76129
26.25,100.773705
26.26,103.98925
26.27,100.07222
26.28,99.325554
26.289999,90.67179
26.3,96.61295
26.31,94.72689
26.32,94.05998
26.329998,86.08664
26.34,88.32993
26.35,89.10063
26.359999,82.77772
26.37,70.81191
26.38,71.394356
26.39,62.349457
26.4,62.348114
26.41,59.81308
26.42,56.14958
26.43,45.086117
26.44,38.213627
26.449999,33.30904
26.460001,31.176025
26.47,22.170708
26.48,8.233376
26.49,3.9994657
26.5,5.9064617
26.51,-9.452467
26.52,-9.727788
26.53,-12.618824
26.539999,-23.178776
26.550001,-29.125189
26.56,-40.30484
26.57,-41.937424
26.58,-53.92843
26.59,-46.633694
26.6,-60.09681
26.609999,-69.12549
26.62,-67.774506
26.63,-72.72111
26.64,-78.42156
26.65,-76.289955
26.66,-81.409004
26.669998,-85.23429
26.68,-92.09545
26.69,-93.35322
26.699999,-93.57996
26.710001,-95.53869
26.72,-99.94193
26.73,-102.50872
26.74,-102.011345
26.75,-97.14961
26.759998,-97.158394
26.77,-97.79073
26.78,-102.67198
26.789999,-93.63343
26.800001,-90.06375
26.81,-94.33904
26.82,-96.19634
26.83,-87.891685
26.84,-87.14713
26.85,-93.463
26.86,-75.47521
26.87,-77.74471
26.88,-70.33018
26.89,-64.21153
26.9,-53.88935
26.91,-48.871094
26.919998,-42.379715
26.93,-44.59531
26.94,-37.56256
26.949999,-31.357029
26.960001,-28.469618
26.97,-21.162218
26.98,-15.727968
26.99,-5.4229712
