QAM
time (\mus),Amplitude
6.2200003,35.14227
6.23,19.130241
6.24,32.101437
6.25,27.210478
6.2599998,33.72558
6.27,26.287481
6.28,19.649517
6.29,23.742813
6.2999997,11.032245
6.31,16.70061
6.32,-1.171181
6.33,6.7409415
6.3399997,5.579998
6.3500004,3.1474698
6.36,2.5458841
6.37,2.3712053
6.3799996,2.3810754
6.3900003,-4.878888
6.4,-8.817505
6.41,-7.879136
6.42,-5.057664
6.43,-12.513949
6.44,-14.776866
6.45,-21.30625
6.46,-16.276712
6.47,-19.44682
6.48,-19.364077
6.4900002,-21.823381
6.5,-26.601173
6.5099998,-24.843363
6.52,-26.886362
6.53,-30.016361
6.54,-30.728065
6.5499997,-26.143917
6.56,-31.524347
6.57,-28.990072
6.58,-33.572685
6.5899997,-40.550655
6.6,-34.001335
6.61,-33.66449
6.62,-38.46708
6.63,-31.90502
6.64,-39.567944
6.65,-26.950394
6.66,-30.286121
6.67,-38.106068
6.68,-39.491295
6.6899996,-35.65141
6.7000003,-26.75062
6.71,-27.093582
6.72,-30.72768
6.7299995,-35.68266
6.7400002,-31.075605
6.75,-26.085516
6.7599998,-20.612194
6.77,-25.759584
6.78,-20.02672
6.79,-19.491776
6.7999997,-9.423458
6.81,-13.759125
6.82,-0.95068514
6.83,-7.65661
6.84,-6.7657185
6.85,-1.6369094
6.8599997,3.01691
6.87,6.6015844
6.88,-3.000579
6.89,3.644553
6.8999996,-2.6791968
6.9100003,5.651201
6.92,9.330973
6.93,10.664194
6.94,21.938242
6.9500003,22.294334
6.96,18.583231
6.97,17.826206
6.98,19.863008
6.99,25.263601
7.0,24.522024
7.0099998,30.772194
7.02,21.103764
7.0299997,32.269527
7.04,31.163824
7.05,26.518463
7.06,33.70132
7.0699997,28.254635
7.08,31.366785
7.09,43.58434
7.1,30.741003
7.1099997,34.599243
7.12,43.566166
7.13,39.987476
7.14,36.7334
7.15,41.79371
7.16,44.558147
7.17,26.526184
7.18,41.073315
7.19,30.492702
7.2,35.064205
7.21,30.761164
7.2200003,27.244965
7.23,28.437717
7.24,27.48835
7.25,18.290422
7.26,27.683638
7.27,27.689213
7.2799997,24.742056
7.29,17.836927
7.3,25.119873
7.31,18.1823
7.3199997,3.183048
7.33,12.722079
7.34,8.26503
7.35,4.509866
7.36,0.54470694
7.37,3.7789342
7.38,-3.2709982
7.39,-0.4839735
7.4,-12.191421
7.41,-7.394562
7.4199996,-12.7657995
7.4300003,-2.003269
7.44,-12.99834
7.45,-17.44498
7.4599996,-12.479573
7.4700003,-29.776136
7.48,-25.391281
7.49,-27.132914
7.5,-25.18853
7.51,-25.988655
7.52,-25.395336
7.5299997,-24.574718
7.54,-29.743933
7.5499997,-28.360893
7.56,-39.10148
7.57,-31.073145
7.58,-38.80327
7.5899997,-39.81007
7.6,-37.576164
7.61,-34.487
7.62,-44.346203
7.63,-37.79445
7.6400003,-35.68831
7.65,-33.6694
7.66,-30.317822
7.6699996,-37.85747
7.68,-31.750708
7.6899996,-33.96447
7.6999993,-26.624352
7.7100005,-29.58089
7.7200003,-27.717587
7.73,-31.620127
7.74,-28.678196
7.75,-29.102907
7.7599998,-19.165426
7.7699995,-20.849234
7.7799997,-23.425678
7.7900004,-22.204609
7.8,-12.686339
7.81,-12.3809
7.82,-11.488039
7.83,-2.3426251
7.8399997,-10.674347
7.85,-9.230657
7.8599997,-0.36603698
7.8699994,-1.940708
7.88,5.45087
7.8900003,6.7677946
7.9,6.6084414
7.91,1.3567034
7.92,3.2961242
7.93,10.868314
